user_id,created_at,market,class,md_do,university_id,device_type,marketing_source
am_202124,2019-10-15,RoW,,,21,,
am_185867,2019-01-26,RoW,,,50,,
am_193760,2019-06-09,RoW,,,616,,
am_184881,2019-01-08,RoW,,,1480,,
am_185531,2019-01-20,RoW,1st year,,627,,
am_184971,2019-01-10,RoW,3rd year,,2239,,
am_190293,2019-04-10,RoW,6th year,,56,,
am_186843,2019-02-17,RoW,6th year,,1097,,
am_184965,2019-01-10,RoW,,,6,,
am_202023,2019-10-14,RoW,,,8,,
am_190367,2019-04-11,RoW,,,11,,
am_202151,2019-10-15,RoW,,,12,,
am_185977,2019-01-29,RoW,,,32,,
am_191966,2019-05-10,RoW,,,50,,
am_204050,2019-11-05,RoW,,,1446,,
am_192371,2019-05-17,RoW,1st year,,2432,,
am_192671,2019-05-22,RoW,5th year,,2387,,
am_203680,2019-11-01,RoW,5th year,,2902,,
am_185499,2019-01-19,RoW,5th year,,2224,,
am_185170,2019-01-14,RoW,,,31,,
am_185200,2019-01-14,RoW,,,41,,
am_202077,2019-10-14,RoW,,,50,,
am_204065,2019-11-05,RoW,,,50,,
am_200429,2019-09-24,RoW,,,51,,
am_197169,2019-08-10,RoW,4th year,,1122,,
am_185345,2019-01-16,RoW,6th year,,2108,,
am_192185,2019-05-14,RoW,,,21,,
am_192442,2019-05-18,RoW,,,25,,
am_204068,2019-11-05,RoW,,,34,,
am_200537,2019-09-25,RoW,,,2851,,
am_196443,2019-07-28,RoW,,,2095,,
am_206001,2019-11-30,RoW,,,61,,
am_189499,2019-04-03,RoW,,,891,,
am_196448,2019-07-28,RoW,,,208,,
am_192103,2019-05-13,RoW,1st year,,1086,,
am_190038,2019-04-07,RoW,4th year,,3223,,
am_201794,2019-10-11,RoW,5th year,,2247,,
am_206185,2019-12-03,RoW,6th year,,2065,,
am_185511,2019-01-19,RoW,6th year,,50,,
am_192114,2019-05-13,RoW,6th year,,2923,,
am_201729,2019-10-10,RoW,,,1,,
am_202115,2019-10-15,RoW,,,4,,
am_206614,2019-12-09,RoW,,,4,,
am_202036,2019-10-14,RoW,,,43,,
am_189744,2019-04-05,RoW,,,61,,
am_204552,2019-11-11,RoW,,,581,,
am_185253,2019-01-15,RoW,,,2120,,
am_190559,2019-04-15,RoW,3rd year,,50,,
am_187726,2019-03-05,RoW,4th year,,1070,,
am_206286,2019-12-04,RoW,4th year,,3173,,
am_203315,2019-10-28,RoW,,,12,,
am_206762,2019-12-11,RoW,,,21,,
am_189178,2019-03-31,RoW,,,29,,
am_185005,2019-01-11,RoW,,,50,,
am_197416,2019-08-14,RoW,,,2154,,
am_202470,2019-10-18,RoW,5th year,,1208,,
am_190884,2019-04-21,RoW,5th year,,2280,,
am_203061,2019-10-25,RoW,,,2095,,
am_186496,2019-02-10,RoW,,,50,,
am_200968,2019-10-01,RoW,,,62,,
am_204046,2019-11-05,RoW,,,1446,,
am_204053,2019-11-05,RoW,,,1446,,
am_197462,2019-08-15,RoW,1st year,,938,,
am_187248,2019-02-24,RoW,3rd year,,50,,
am_202646,2019-10-21,RoW,5th year,,2858,,
am_204263,2019-11-07,RoW,,,2,,
am_193461,2019-06-05,RoW,,,10,,
am_202472,2019-10-18,RoW,,,19,,
am_195708,2019-07-13,RoW,,,32,,
am_201744,2019-10-10,RoW,,,2120,,
am_198026,2019-08-23,RoW,2nd year,,277,,
am_201255,2019-10-04,RoW,,,6,,
am_190401,2019-04-12,RoW,,,42,,
am_197635,2019-08-17,RoW,,,50,,
am_188316,2019-03-17,RoW,1st year,,434,,
am_188267,2019-03-16,RoW,2nd year,,3001,,
am_205519,2019-11-23,RoW,3rd year,,1152,,
am_190655,2019-04-16,RoW,3rd year,,2494,,
am_194155,2019-06-14,RoW,5th year,,2387,,
am_187395,2019-02-27,RoW,,,13,,
am_191738,2019-05-06,RoW,,,37,,
am_184985,2019-01-10,RoW,,,50,,
am_198320,2019-08-27,RoW,,,50,,
am_199422,2019-09-12,RoW,,,50,,
am_200486,2019-09-24,RoW,,,50,,
am_198239,2019-08-26,RoW,3rd year,,2264,,
am_192847,2019-05-24,RoW,3rd year,,2031,,
am_198203,2019-08-26,RoW,4th year,,2516,,
am_189044,2019-03-30,RoW,4th year,,2552,,
am_195417,2019-07-07,RoW,,,29,,
am_203625,2019-10-31,RoW,,,31,,
am_187456,2019-02-28,RoW,2nd year,,2099,,
am_187588,2019-03-03,RoW,3rd year,,1666,,
am_195792,2019-07-15,RoW,3rd year,,1260,,
am_187296,2019-02-25,RoW,4th year,,1108,,
am_192479,2019-05-19,RoW,4th year,,3173,,
am_206260,2019-12-04,RoW,5th year,,2232,,
am_190913,2019-04-21,RoW,,,50,,
am_199583,2019-09-14,RoW,,,50,,
am_207389,2019-12-22,RoW,1st year,,50,,
am_192758,2019-05-23,RoW,6th year,,1810,,
am_188512,2019-03-21,RoW,6th year,,1049,,
am_206496,2019-12-07,RoW,6th year,,2238,,
am_187350,2019-02-26,RoW,,,13,,
am_201488,2019-10-07,RoW,,,30,,
am_185391,2019-01-17,RoW,,,34,,
am_195270,2019-07-04,RoW,,,37,,
am_189955,2019-04-06,RoW,,,58,,
am_187645,2019-03-04,RoW,1st year,,50,,
am_207595,2019-12-27,RoW,3rd year,,50,,
am_207531,2019-12-25,RoW,5th year,,1842,,
am_201859,2019-10-12,RoW,6th year,,2333,,
am_201670,2019-10-09,RoW,,,1,,
am_188954,2019-03-29,RoW,,,50,,
am_190865,2019-04-20,RoW,,,50,,
am_204060,2019-11-05,RoW,,,50,,
am_185815,2019-01-25,RoW,6th year,,2238,,
am_201792,2019-10-11,RoW,,,23,,
am_184989,2019-01-10,RoW,,,25,,
am_204764,2019-11-14,RoW,,,48,,
am_194792,2019-06-25,RoW,,,50,,
am_200977,2019-10-01,RoW,,,3123,,
am_192806,2019-05-24,RoW,2nd year,,1353,,
am_205418,2019-11-22,RoW,5th year,,50,,
am_198109,2019-08-24,RoW,5th year,,1212,,
am_191801,2019-05-07,RoW,,,12,,
am_189459,2019-04-03,RoW,,,44,,
am_201674,2019-10-09,RoW,,,44,,
am_187319,2019-02-25,RoW,1st year,,2168,,
am_196845,2019-08-05,RoW,5th year,,3210,,
am_185019,2019-01-11,RoW,5th year,,921,,
am_184852,2019-01-08,RoW,6th year,,628,,
am_184849,2019-01-08,RoW,6th year,,2234,,
am_186774,2019-02-15,RoW,,,2,,
am_202781,2019-10-22,RoW,,,10,,
am_194766,2019-06-25,RoW,,,23,,
am_202881,2019-10-23,RoW,,,46,,
am_200991,2019-10-01,RoW,,,50,,
am_201685,2019-10-09,RoW,,,50,,
am_204652,2019-11-12,RoW,,,2116,,
am_193318,2019-06-02,RoW,,,2120,,
am_207010,2019-12-15,RoW,,,2256,,
am_203021,2019-10-24,RoW,4th year,,1273,,
am_195005,2019-06-29,RoW,5th year,,3214,,
am_188631,2019-03-24,RoW,5th year,,2014,,
am_206883,2019-12-13,RoW,6th year,,3142,,
am_202871,2019-10-23,RoW,,,19,,
am_202414,2019-10-18,RoW,,,23,,
am_185790,2019-01-25,RoW,,,26,,
am_203325,2019-10-28,RoW,,,45,,
am_188107,2019-03-13,RoW,,,50,,
am_204064,2019-11-05,RoW,,,1446,,
am_188035,2019-03-11,RoW,4th year,,1888,,
am_202858,2019-10-23,RoW,5th year,,1271,,
am_206380,2019-12-06,RoW,6th year,,1731,,
am_186438,2019-02-08,RoW,6th year,,1753,,
am_195734,2019-07-14,RoW,,,40,,
am_193196,2019-05-31,RoW,,,48,,
am_186801,2019-02-15,RoW,,,50,,
am_194726,2019-06-24,RoW,,,50,,
am_205345,2019-11-21,RoW,,,50,,
am_197413,2019-08-14,RoW,2nd year,,2900,,
am_185420,2019-01-17,RoW,4th year,,2386,,
am_191368,2019-04-29,RoW,5th year,,2491,,
am_205853,2019-11-28,RoW,5th year,,970,,
am_190301,2019-04-10,RoW,,,10,,
am_190855,2019-04-20,RoW,,,11,,
am_197522,2019-08-16,RoW,,,14,,
am_203050,2019-10-25,RoW,,,32,,
am_200530,2019-09-25,RoW,,,43,,
am_188882,2019-03-28,RoW,,,50,,
am_199225,2019-09-09,RoW,,,50,,
am_188344,2019-03-17,RoW,1st year,,2526,,
am_185312,2019-01-16,RoW,2nd year,,50,,
am_194056,2019-06-12,RoW,3rd year,,1028,,
am_195347,2019-07-06,RoW,4th year,,1090,,
am_186416,2019-02-07,RoW,6th year,,435,,
am_191866,2019-05-08,RoW,,,3,,
am_205346,2019-11-21,RoW,,,34,,
am_202883,2019-10-23,RoW,,,46,,
am_187907,2019-03-09,RoW,,,48,,
am_191846,2019-05-08,RoW,,,50,,
am_196342,2019-07-26,RoW,,,50,,
am_204653,2019-11-12,RoW,,,2108,,
am_190142,2019-04-07,RoW,1st year,,2440,,
